recipeId,slug,title,sourceName,visualType,visualConfidence,reviewStatus,status,targetFilename,imagePath,thumbnailPath,imagePrompt
lidl-a-legszuperebb-paradicsomos-hazi-teszta,a-legszuperebb-paradicsomos-hazi-teszta,A legszuperebb paradicsomos házi tészta,Lidl Konyha,pasta,high,approved,generated,a-legszuperebb-paradicsomos-hazi-teszta.webp,/assets/recipes/images/a-legszuperebb-paradicsomos-hazi-teszta.webp,/assets/recipes/images/thumbnails/a-legszuperebb-paradicsomos-hazi-teszta.webp,"Recipe title: A legszuperebb paradicsomos házi tészta. Create a pasta plate with visible teszta, paradicsom. The dish must read visually as a plated pasta dish with sauce clearly coating the pasta. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: teszta, paradicsom. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-a-tokeletes-grillezett-marhasteak,a-tokeletes-grillezett-marhasteak,A tökéletes grillezett marhasteak,Lidl Konyha,steak-main,high,approved,generated,a-tokeletes-grillezett-marhasteak.webp,/assets/recipes/images/a-tokeletes-grillezett-marhasteak.webp,/assets/recipes/images/thumbnails/a-tokeletes-grillezett-marhasteak.webp,"Recipe title: A tökéletes grillezett marhasteak. Create a steak or beef main dish with visible marhahus. The dish must read visually as a sliced or plated steak main dish cooked and served on a ceramic plate. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: marhahus. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-a-tokeletes-turogomboc,a-tokeletes-turogomboc,A tökéletes túrógombóc,Lidl Konyha,sweet-dumpling,high,needs-review,generated,a-tokeletes-turogomboc.webp,/assets/recipes/images/a-tokeletes-turogomboc.webp,/assets/recipes/images/thumbnails/a-tokeletes-turogomboc.webp,"Recipe title: A tökéletes túrógombóc. Create soft sweet dumplings with visible turo. The dish must read visually as soft sweet cottage cheese dumplings served as a plated dessert. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: turo. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-a-vilag-legfinomabb-legegyszerubb-paradicsomos-sajtos-spagettije,a-vilag-legfinomabb-legegyszerubb-paradicsomos-sajtos-spagettije,"A világ legfinomabb, legegyszerűbb paradicsomos-sajtos spagettije",Lidl Konyha,pasta,high,approved,generated,a-vilag-legfinomabb-legegyszerubb-paradicsomos-sajtos-spagettije.webp,/assets/recipes/images/a-vilag-legfinomabb-legegyszerubb-paradicsomos-sajtos-spagettije.webp,/assets/recipes/images/thumbnails/a-vilag-legfinomabb-legegyszerubb-paradicsomos-sajtos-spagettije.webp,"Recipe title: A világ legfinomabb, legegyszerűbb paradicsomos-sajtos spagettije. Create a pasta plate with visible teszta, paradicsom, sajt. The dish must read visually as a plated pasta dish with sauce clearly coating the pasta. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: teszta, paradicsom, sajt. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-afonyalekvaros-gombas-szarvasragu-turos-polentaval,afonyalekvaros-gombas-szarvasragu-turos-polentaval,"Áfonyalekváros, gombás szarvasragu túrós polentával",Lidl Konyha,stew,high,approved,generated,afonyalekvaros-gombas-szarvasragu-turos-polentaval.webp,/assets/recipes/images/afonyalekvaros-gombas-szarvasragu-turos-polentaval.webp,/assets/recipes/images/thumbnails/afonyalekvaros-gombas-szarvasragu-turos-polentaval.webp,"Recipe title: Áfonyalekváros, gombás szarvasragu túrós polentával. Create a hearty stew or one-pot meal with visible turo. The dish must read visually as a hearty stew, ragu, or one-pot meal in a shallow bowl or plate. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: turo. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-afonyas-citromos-tiramisu,afonyas-citromos-tiramisu,Áfonyás-citromos tiramisu,Lidl Konyha,layered-dessert,high,approved,generated,afonyas-citromos-tiramisu.webp,/assets/recipes/images/afonyas-citromos-tiramisu.webp,/assets/recipes/images/thumbnails/afonyas-citromos-tiramisu.webp,"Recipe title: Áfonyás-citromos tiramisu. Create a layered chilled dessert with visible citrom. The dish must read visually as a plated tiramisu-style layered dessert with visible creamy layers. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: citrom. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-almaspite-mogyoropralineval-karamellizalt-almaval,almaspite-mogyoropralineval-karamellizalt-almaval,"Almáspite, mogyorópralinéval, karamellizált almával",Lidl Konyha,pie-dessert,high,needs-review,generated,almaspite-mogyoropralineval-karamellizalt-almaval.webp,/assets/recipes/images/almaspite-mogyoropralineval-karamellizalt-almaval.webp,/assets/recipes/images/thumbnails/almaspite-mogyoropralineval-karamellizalt-almaval.webp,"Recipe title: Almáspite, mogyorópralinéval, karamellizált almával. Create a slice of pie with golden crust and visible filling. The dish must read visually as a slice of homemade pie with visible filling and golden crust. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-aranygaluska,aranygaluska,Aranygaluska,Lidl Konyha,sweet-bun-dessert,high,needs-review,generated,aranygaluska.webp,/assets/recipes/images/aranygaluska.webp,/assets/recipes/images/thumbnails/aranygaluska.webp,"Recipe title: Aranygaluska. Create a baked sweet pastry dessert with visible nudli vagy galuska. The dish must read visually as golden pull-apart sweet pastry pieces dusted or glazed like a classic baked dessert. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: nudli vagy galuska. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-az-en-amerikai-palacsintam-mogyorovajjal-juharsziruppal,az-en-amerikai-palacsintam-mogyorovajjal-juharsziruppal,"Az én amerikai palacsintám, mogyoróvajjal, juharsziruppal",Lidl Konyha,pancake-crepe,high,approved,generated,az-en-amerikai-palacsintam-mogyorovajjal-juharsziruppal.webp,/assets/recipes/images/az-en-amerikai-palacsintam-mogyorovajjal-juharsziruppal.webp,/assets/recipes/images/thumbnails/az-en-amerikai-palacsintam-mogyorovajjal-juharsziruppal.webp,"Recipe title: Az én amerikai palacsintám, mogyoróvajjal, juharsziruppal. Create thin pancakes or crepes on a ceramic plate . The dish must read visually as thin pancakes or crepes folded or stacked on a plate. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-az-en-hortobagyi-husos-palacsintam,az-en-hortobagyi-husos-palacsintam,Az én hortobágyi húsos palacsintám,Lidl Konyha,savory-crepe,high,needs-review,generated,az-en-hortobagyi-husos-palacsintam.webp,/assets/recipes/images/az-en-hortobagyi-husos-palacsintam.webp,/assets/recipes/images/thumbnails/az-en-hortobagyi-husos-palacsintam.webp,"Recipe title: Az én hortobágyi húsos palacsintám. Create savory stuffed crepes with rich paprika filling and sauce. The dish must read visually as a savory stuffed crepe or rolled pancake filled with paprika-rich meat sauce. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-az-en-karacsonyi-puspokkenyerem,az-en-karacsonyi-puspokkenyerem,Az én karácsonyi püspökkenyerem,Lidl Konyha,vegetable-main,low,needs-review,generated,az-en-karacsonyi-puspokkenyerem.webp,/assets/recipes/images/az-en-karacsonyi-puspokkenyerem.webp,/assets/recipes/images/thumbnails/az-en-karacsonyi-puspokkenyerem.webp,"Recipe title: Az én karácsonyi püspökkenyerem. Create a vegetable-forward plated meal . The dish must read visually as a vegetable-forward homemade main dish on a ceramic plate. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-az-en-kocsonyam,az-en-kocsonyam,Az én kocsonyám,Lidl Konyha,stew,medium,approved,generated,az-en-kocsonyam.webp,/assets/recipes/images/az-en-kocsonyam.webp,/assets/recipes/images/thumbnails/az-en-kocsonyam.webp,"Recipe title: Az én kocsonyám. Create a hearty stew or one-pot meal . The dish must read visually as a hearty stew, ragu, or one-pot meal in a shallow bowl or plate. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-az-en-tejberizsem,az-en-tejberizsem,Az Én Tejberizsem,Lidl Konyha,cake-slice,medium,needs-review,generated,az-en-tejberizsem.webp,/assets/recipes/images/az-en-tejberizsem.webp,/assets/recipes/images/thumbnails/az-en-tejberizsem.webp,"Recipe title: Az Én Tejberizsem. Create a plated homemade dessert slice with visible rizs. The dish must read visually as a plated slice or piece of homemade dessert with visible layers or texture. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: rizs. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-az-en-tengergyumolcsei-rizottom,az-en-tengergyumolcsei-rizottom,Az én tengergyümölcsei rizottóm,Lidl Konyha,cake-slice,medium,needs-review,generated,az-en-tengergyumolcsei-rizottom.webp,/assets/recipes/images/az-en-tengergyumolcsei-rizottom.webp,/assets/recipes/images/thumbnails/az-en-tengergyumolcsei-rizottom.webp,"Recipe title: Az én tengergyümölcsei rizottóm. Create a plated homemade dessert slice with visible rizs. The dish must read visually as a plated slice or piece of homemade dessert with visible layers or texture. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: rizs. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-az-en-tyukhuslevesem,az-en-tyukhuslevesem,Az én tyúkhúslevesem,Lidl Konyha,plated-main,low,needs-review,generated,az-en-tyukhuslevesem.webp,/assets/recipes/images/az-en-tyukhuslevesem.webp,/assets/recipes/images/thumbnails/az-en-tyukhuslevesem.webp,"Recipe title: Az én tyúkhúslevesem. Create a plated homemade family meal with visible zoldsegek, alaple. The dish must read visually as a plated homemade family meal on a ceramic plate. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: zoldsegek, alaple. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-az-igazi-cezarsalata,az-igazi-cezarsalata,Az igazi cézársaláta,Lidl Konyha,salad,high,approved,generated,az-igazi-cezarsalata.webp,/assets/recipes/images/az-igazi-cezarsalata.webp,/assets/recipes/images/thumbnails/az-igazi-cezarsalata.webp,"Recipe title: Az igazi cézársaláta. Create a composed salad with visible salatakeverek. The dish must read visually as a fresh composed salad in a bowl or shallow plate with colorful ingredients. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: salatakeverek. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-az-igazi-eroleves-gazdagon-daragaluskaval,az-igazi-eroleves-gazdagon-daragaluskaval,"Az igazi ERŐleves gazdagon, daragaluskával",Lidl Konyha,soup,high,needs-review,generated,az-igazi-eroleves-gazdagon-daragaluskaval.webp,/assets/recipes/images/az-igazi-eroleves-gazdagon-daragaluskaval.webp,/assets/recipes/images/thumbnails/az-igazi-eroleves-gazdagon-daragaluskaval.webp,"Recipe title: Az igazi ERŐleves gazdagon, daragaluskával. Create a bowl of soup with visible zoldsegek, alaple. The dish must read visually as a bowl of soup served hot, with the broth or creamy texture clearly visible. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: zoldsegek, alaple. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-az-igazi-francia-hagymaleves,az-igazi-francia-hagymaleves,Az igazi francia hagymaleves,Lidl Konyha,cake-slice,medium,needs-review,generated,az-igazi-francia-hagymaleves.webp,/assets/recipes/images/az-igazi-francia-hagymaleves.webp,/assets/recipes/images/thumbnails/az-igazi-francia-hagymaleves.webp,"Recipe title: Az igazi francia hagymaleves. Create a plated homemade dessert slice with visible zoldsegek, alaple. The dish must read visually as a plated slice or piece of homemade dessert with visible layers or texture. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: zoldsegek, alaple. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-az-igazi-frankfurtileves,az-igazi-frankfurtileves,Az igazi frankfurtileves,Lidl Konyha,soup,high,needs-review,generated,az-igazi-frankfurtileves.webp,/assets/recipes/images/az-igazi-frankfurtileves.webp,/assets/recipes/images/thumbnails/az-igazi-frankfurtileves.webp,"Recipe title: Az igazi frankfurtileves. Create a bowl of soup with visible zoldsegek, alaple. The dish must read visually as a bowl of soup served hot, with the broth or creamy texture clearly visible. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: zoldsegek, alaple. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-azsiai-gyomberes-szojas-csirke-furjtojassal-es-zoldsegekkel,azsiai-gyomberes-szojas-csirke-furjtojassal-es-zoldsegekkel,"Ázsiai gyömbéres-szójás csirke, fürjtojással és zöldségekkel",Lidl Konyha,roasted-chicken,high,needs-review,generated,azsiai-gyomberes-szojas-csirke-furjtojassal-es-zoldsegekkel.webp,/assets/recipes/images/azsiai-gyomberes-szojas-csirke-furjtojassal-es-zoldsegekkel.webp,/assets/recipes/images/thumbnails/azsiai-gyomberes-szojas-csirke-furjtojassal-es-zoldsegekkel.webp,"Recipe title: Ázsiai gyömbéres-szójás csirke, fürjtojással és zöldségekkel. Create a chicken main dish with visible csirkehus, vegyes zoldseg. The dish must read visually as a roasted or pan-cooked chicken main dish with visible chicken pieces. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: csirkehus, vegyes zoldseg. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-azsiai-hideg-meleg-zoldsegsalata,azsiai-hideg-meleg-zoldsegsalata,Ázsiai hideg-meleg zöldségsaláta,Lidl Konyha,salad,high,needs-review,generated,azsiai-hideg-meleg-zoldsegsalata.webp,/assets/recipes/images/azsiai-hideg-meleg-zoldsegsalata.webp,/assets/recipes/images/thumbnails/azsiai-hideg-meleg-zoldsegsalata.webp,"Recipe title: Ázsiai hideg-meleg zöldségsaláta. Create a composed salad with visible vegyes zoldseg, salatakeverek. The dish must read visually as a fresh composed salad in a bowl or shallow plate with colorful ingredients. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: vegyes zoldseg, salatakeverek. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-azsiai-mazas-bbq-oldalas-savanyitott-sargarepaval,azsiai-mazas-bbq-oldalas-savanyitott-sargarepaval,Ázsiai mázas BBQ oldalas savanyított sárgarépával,Lidl Konyha,vegetable-main,low,needs-review,generated,azsiai-mazas-bbq-oldalas-savanyitott-sargarepaval.webp,/assets/recipes/images/azsiai-mazas-bbq-oldalas-savanyitott-sargarepaval.webp,/assets/recipes/images/thumbnails/azsiai-mazas-bbq-oldalas-savanyitott-sargarepaval.webp,"Recipe title: Ázsiai mázas BBQ oldalas savanyított sárgarépával. Create a vegetable-forward plated meal . The dish must read visually as a vegetable-forward homemade main dish on a ceramic plate. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. No text, no watermark, no logo, no brand packaging, no people, no hands."
